1,1, 0.08
5,1, 0.56
4,2, 2.98
3,3, 1.21
2,4, 0.26
1,5, 0.17
6,1, 1.48
5,2, 46.71
4,3, 1.54
3,4, 1.24
2,5, 0.54
2,1, 0.11
1,6, 0.21
7,1, 14.2
6,2, 389.06
5,3, 235.2
4,4, 11.02
3,5, 1.66
2,6, 0.62
1,7, 0.22
8,1, timeout
7,2, timeout
1,2, 0.09
6,3, timeout
5,4, timeout
4,5, 13.68
3,6, 5.3
2,7, 0.82
1,8, 0.29
9,1, timeout
8,2, timeout
7,3, timeout
6,4, timeout
3,1, 0.19
5,5, timeout
4,6, 57.56
3,7, 46.04
2,8, 0.95
1,9, 0.32
10,1, timeout
9,2, timeout
8,3, timeout
7,4, timeout
6,5, timeout
2,2, 0.16
5,6, timeout
4,7, 224.02
3,8, 30.53
2,9, 1.2
1,10, 0.37
1,3, 0.12
4,1, 0.33
3,2, 0.27
2,3, 0.19
1,4, 0.16
